id,access_id,first_name,last_name,full_name,preferred_name,birth_name,gender,identifier,identifier_type,email,login_email,birthday_on,nationality,address_line_1,address_line_2,postal_code,city,state,country,bank_number,swift_bic,bank_number_format,company_id,legal_entity_id,location_id,created_at,updated_at,social_security_number,is_terminating,terminated_on,termination_reason_type,termination_reason,termination_observations,manager_id,timeoff_manager_id,phone_number,company_identifier,age_number,termination_type_description,contact_name,contact_number,personal_email,seniority_calculation_date,pronouns,active,disability_percentage_cents,identifier_expiration_date,attendable,country_of_birth,birthplace
1784551,1785630,Emilia,Estrada,Emilia Estrada,,,female,62017694B,dni,emilia.estrada@demo520f36d5.com,emilia.estrada@demo520f36d5.com,1998-05-19,es,"Passeig de Gràcia, 92",1º,8008,Barcelona,Barcelona,es,ES68 4791 3956 2294 8239 0202,,iban,55229,122547,184472,2023-11-06T00:00:00.000Z,2026-01-23T14:21:33.000Z,288941314739,False,,,,,1784516.0,1784516.0,613668536,EM-1785630,27,,,,,,,True,0,,True,,
1784545,1785624,Sofía,Suárez,Sofía Suárez,,,female,57784225Z,dni,sofia.suarez@demo520f36d5.com,sofia.suarez@demo520f36d5.com,1997-03-23,es,"Carrer del Consell de Cent, 278",,8007,Barcelona,Barcelona,es,ES25 5380 2337 6647 6127 1950,,iban,55229,122586,184472,2025-04-01T00:00:00.000Z,2026-01-23T14:45:26.000Z,,False,,,,,1784532.0,1784532.0,616542824,EM-1785624,28,,,,,,,True,0,,True,,
1784539,1785617,Natán,Navarro,Natán Navarro,,,male,75724087Z,dni,natan.navarro@demo520f36d5.com,natan.navarro@demo520f36d5.com,1993-01-29,es,"Gran Via de les Corts Catalanes, 456",,8015,Barcelona,Barcelona,es,ES54 6081 9189 4768 9056 8245,,iban,55229,122547,184472,2025-03-27T00:00:00.000Z,2026-01-23T14:31:00.000Z,009026484439,False,,,,,1784532.0,1784532.0,618664047,EM-1785617,33,,,,,,,True,0,,True,,
1784532,1785611,Samantha,Suárez,Samantha Suárez,,,female,11961800Y,dni,samantha.suarez@demo520f36d5.com,samantha.suarez@demo520f36d5.com,1990-10-13,es,"Carrer de Balmes, 150",,8008,Barcelona,Barcelona,es,ES76 7615 7080 5432 5461 2097,,iban,55229,122547,184472,2026-01-22T00:00:00.000Z,2026-01-23T14:29:58.000Z,039980951152,False,,,,,1784516.0,1784516.0,616284227,EM-1785611,35,,,,,,,True,0,,True,,
1784525,1785602,Charlie,Campos,Charlie Campos,,,male,98682453X,dni,charlie.campos@demo520f36d5.com,charlie.campos@demo520f36d5.com,1996-01-27,es,"Plaça de Catalunya, 1",,8002,Barcelona,Barcelona,es,ES90 4307 0015 5165 5945 4774,,iban,55229,122547,184472,2025-01-09T00:00:00.000Z,2026-01-23T14:29:58.000Z,114360702312,False,,,,,1784532.0,1784532.0,616479212,EM-1785602,30,,,,,,,True,0,,True,,
1784516,1785594,Simón,Álvarez,Simón Álvarez,,,male,82613274B,dni,simon.alvarez@demo520f36d5.com,simon.alvarez@demo520f36d5.com,1990-01-10,es,"Carrer d'Aragó, 302",4ª,8009,Barcelona,Barcelona,es,ES90 1755 6625 8007 0238 7806,,iban,55229,122547,184472,2023-05-09T00:00:00.000Z,2026-01-23T14:17:01.000Z,216442615669,False,,,,,1784344.0,1784344.0,611186819,EM-1785594,36,,,,,,,True,0,,True,,
1784509,1785585,Zola ,Nkosi,Zola  Nkosi,,,female,57573936Z,dni,ana.harris@demo520f36d5.com,ana.harris@demo520f36d5.com,2000-06-14,za,"Avinguda Diagonal, 640",,8017,Barcelona,Barcelona,es,ES46 2526 9090 9860 5623 8655,,iban,55229,122547,184472,2025-09-06T00:00:00.000Z,2026-02-02T13:33:36.000Z,004574742389,False,,,,,1784336.0,1784336.0,613514149,EM-1785585,25,,,,,,,True,0,,True,,
1784500,1785566,Isabel,Iglesias,Isabel Iglesias,,,female,54664029K,dni,isabel.iglesias@demo520f36d5.com,isabel.iglesias@demo520f36d5.com,1998-05-18,es,"Passeig de Gràcia, 92",1º,8008,Barcelona,Barcelona,es,ES81 9395 5878 0936 8024 1274,,iban,55229,122547,184472,2025-07-10T00:00:00.000Z,2026-01-23T14:47:52.000Z,253647857968,False,,,,,1784336.0,1784336.0,614485914,EM-1785566,27,,,,,,,True,0,,True,,
1784480,1785558,Iván,Iglesias,Iván Iglesias,,,male,03329059Q,dni,ivan.iglesias@demo520f36d5.com,ivan.iglesias@demo520f36d5.com,2000-03-07,es,"Carrer de la Marina, 19",,8005,Barcelona,Barcelona,es,ES68 8353 8700 3693 7705 7594,,iban,55229,122547,184472,2025-09-14T00:00:00.000Z,2026-01-23T14:16:44.000Z,376941229454,False,,,,,1784336.0,1784336.0,619804107,EM-1785558,25,,,,,,,True,0,,True,,
1784473,1785551,Esteban,Scott,Esteban Scott,,,male,12828470J,dni,esteban.scott@demo520f36d5.com,esteban.scott@demo520f36d5.com,1996-05-18,es,"Gran Via de les Corts Catalanes, 456",,8015,Barcelona,Barcelona,es,ES74 6903 5311 0000 0940 3532,,iban,55229,122547,184472,2024-12-08T00:00:00.000Z,2026-01-23T14:29:58.000Z,334602162933,False,,,,,,,612693924,EM-1785551,29,,,,,,,True,0,,True,,
1784469,1785547,Sara,Sánchez,Sara Sánchez,,,female,70130409M,dni,sara.sanchez@demo520f36d5.com,sara.sanchez@demo520f36d5.com,1998-05-24,es,"Carrer de Casanova, 155",,8036,Barcelona,Barcelona,es,ES58 5230 7885 6964 6082 7520,,iban,55229,122547,184472,2024-11-05T00:00:00.000Z,2026-01-23T14:29:58.000Z,035718229063,False,,,,,1784442.0,1784442.0,612347796,EM-1785547,27,,,,,,,True,0,,True,,
1784464,1785541,Megan,Moreno,Megan Moreno,,,female,66311088H,dni,tina@factorial.co,tina@factorial.co,2000-05-16,es,"Carrer de Balmes, 150",,8008,Barcelona,Barcelona,es,ES07 2128 9055 5167 9604 9935,,iban,55229,122547,184472,2025-01-29T00:00:00.000Z,2026-01-23T14:29:58.000Z,256723056951,False,,,,,,,614009367,EM-1785541,25,,,,,,,True,0,,True,,
1784456,1785533,Pedro,Precio,Pedro Precio,,,male,30355671H,dni,pedro.precio@demo520f36d5.com,pedro.precio@demo520f36d5.com,1998-06-12,es,"Carrer d'Aragó, 302",4ª,8009,Barcelona,Barcelona,es,ES76 9459 2989 0589 4868 0380,,iban,55229,122547,184472,2024-01-16T00:00:00.000Z,2026-01-23T14:29:58.000Z,204659671116,False,,,,,1784442.0,1784442.0,613978382,EM-1785533,27,,,,,,,True,0,,True,,
1784449,1785528,Diana,Díaz,Diana Díaz,,,female,98015083P,dni,sandra@factorial.co,sandra@factorial.co,1997-11-23,es,"Passeig de Gràcia, 92",1º,8008,Barcelona,Barcelona,es,ES26 2036 5456 7209 2092 2975,,iban,55229,122547,184472,2024-01-17T00:00:00.000Z,2026-01-23T14:29:58.000Z,100517681405,False,,,,,1784442.0,1784442.0,613185009,EM-1785528,28,,,,,,,True,0,,True,,
1784442,1785519,Chike ,Obi,Chike  Obi,,,male,63751456X,dni,calvino.collins@demo520f36d5.com,calvino.collins@demo520f36d5.com,1992-06-08,ng,"Passeig de Gràcia, 92",1º,8008,Barcelona,Barcelona,es,ES41 1715 2381 3021 2035 0834,,iban,55229,122547,184472,2023-09-21T00:00:00.000Z,2026-02-02T13:32:41.000Z,290858519788,False,,,,,1784344.0,1784344.0,617905592,EM-1785519,33,,,,,,,True,0,,True,,
1784433,1785510,Amelia,Álvarez,Amelia Álvarez,,,female,55156208T,dni,amelia.alvarez@demo520f36d5.com,amelia.alvarez@demo520f36d5.com,2000-06-22,es,"Plaça de Catalunya, 1",,8002,Barcelona,Barcelona,es,ES89 8792 5678 8588 4096 1533,,iban,55229,122547,184472,2026-02-23T00:00:00.000Z,2026-01-23T14:21:42.000Z,200893542948,False,,,,,1784409.0,1784409.0,616616154,EM-1785510,25,,,,,,,True,0,,True,,
1784425,1785502,Amina ,Traoré,Amina  Traoré,,,female,91181431R,dni,alicia.anderson@demo520f36d5.com,alicia.anderson@demo520f36d5.com,1996-08-20,ml,"Carrer de Balmes, 150",,8008,Barcelona,Barcelona,es,ES31 8506 3422 5550 7577 2732,,iban,55229,122547,184472,2023-10-19T00:00:00.000Z,2026-02-02T13:33:44.000Z,190773068161,False,,,,,1784409.0,1784409.0,619083621,EM-1785502,29,,,,,,,True,0,,True,,
1784417,1785494,Nia ,Kone,Nia  Kone,,,female,96611800R,dni,bernarda.barrios@demo520f36d5.com,bernarda.barrios@demo520f36d5.com,1994-01-15,sn,"Carrer de Casanova, 155",,8036,Barcelona,Barcelona,es,ES02 9793 1753 8040 9046 1034,,iban,55229,122547,184472,2024-08-11T00:00:00.000Z,2026-02-02T13:33:18.000Z,033981640184,False,,,,,1784409.0,1784409.0,618766946,EM-1785494,32,,,,,,,True,0,,True,,
1784409,1785488,Cristóbal,Cárdenas,Cristóbal Cárdenas,,,male,83545673J,dni,cristobal.cardenas@demo520f36d5.com,cristobal.cardenas@demo520f36d5.com,1988-03-25,es,"Plaça de Catalunya, 1",,8002,Barcelona,Barcelona,es,ES56 9511 8123 1095 3638 3355,,iban,55229,122547,184472,2024-07-12T00:00:00.000Z,2026-01-23T14:21:42.000Z,372496418359,False,,,,,1784344.0,1784344.0,616051252,EM-1785488,37,,,,,,,True,0,,True,,
1784402,1785481,Mateo,Santos,Mateo Santos,,,male,26888715J,dni,mateo.santos@demo520f36d5.com,mateo.santos@demo520f36d5.com,1992-06-02,es,"Plaça de Catalunya, 1",,8002,Barcelona,Barcelona,es,ES95 2797 5909 0767 5377 0927,,iban,55229,122547,184472,2024-07-11T00:00:00.000Z,2026-01-23T14:29:58.000Z,364127843995,False,,,,,1784382.0,1784382.0,615961627,EM-1785481,33,,,,,,,True,0,,True,,
1784396,1785473,Felicidad,Fernández,Felicidad Fernández,,,female,94661016P,dni,felicidad.fernandez@demo520f36d5.com,felicidad.fernandez@demo520f36d5.com,1998-04-06,es,"Carrer de Casanova, 155",,8036,Barcelona,Barcelona,es,ES70 0164 5899 0573 4916 5342,,iban,55229,122547,184472,2025-01-20T00:00:00.000Z,2026-01-23T14:29:58.000Z,384031190638,False,,,,,1784382.0,1784382.0,617776359,EM-1785473,27,,,,,,,True,0,,True,,
1784388,1785467,Jaime,Juárez,Jaime Juárez,,,male,13846633N,dni,jaime.juarez@demo520f36d5.com,jaime.juarez@demo520f36d5.com,1999-04-03,es,"Carrer del Consell de Cent, 278",,8007,Barcelona,Barcelona,es,ES15 4111 1812 1132 7775 3792,,iban,55229,122547,184472,2025-09-16T00:00:00.000Z,2026-01-23T14:29:58.000Z,321753049445,False,,,,,1784382.0,1784382.0,614907316,EM-1785467,26,,,,,,,True,0,,True,,
1784382,1785454,Clara,Castillo,Clara Castillo,,,female,57789820C,dni,clara.castillo@demo520f36d5.com,clara.castillo@demo520f36d5.com,1992-04-14,es,"Carrer de Balmes, 150",,8008,Barcelona,Barcelona,es,ES89 2802 4142 3986 9669 0489,,iban,55229,122547,184472,2023-11-12T00:00:00.000Z,2026-01-23T14:29:58.000Z,361099324042,False,,,,,1784344.0,1784344.0,611425990,EM-1785454,33,,,,,,,True,0,,True,,
1784369,1785446,Fiona,Fernández,Fiona Fernández,,,female,45626394Y,dni,fiona.fernandez@demo520f36d5.com,fiona.fernandez@demo520f36d5.com,2001-12-09,es,"Avinguda Diagonal, 640",,8017,Barcelona,Barcelona,es,ES36 3040 1915 4926 8751 8528,,iban,55229,122547,184472,2024-12-27T00:00:00.000Z,2026-01-23T14:15:51.000Z,227944645600,False,,,,,1784349.0,1784349.0,611194200,EM-1785446,24,,,,,,,True,0,,True,,
1784361,1785438,Juan,Jiménez,Juan Jiménez,,,male,97167993P,dni,juan.jimenez@demo520f36d5.com,juan.jimenez@demo520f36d5.com,1997-01-24,es,"Carrer de Balmes, 150",,8008,Barcelona,Barcelona,es,ES35 6340 2023 6863 2061 3626,,iban,55229,122547,184472,2025-09-12T00:00:00.000Z,2026-01-23T14:15:51.000Z,004995938116,False,,,,,1784349.0,1784349.0,614887432,EM-1785438,29,,,,,,,True,0,,True,,
1784354,1785432,Laura,López,Laura López,,,female,12742437T,dni,laura.lopez@demo520f36d5.com,laura.lopez@demo520f36d5.com,1994-02-25,es,"Carrer de la Marina, 19",,8005,Barcelona,Barcelona,es,ES51 6950 3044 9549 9939 9150,,iban,55229,122547,184472,2023-09-20T00:00:00.000Z,2026-01-23T14:15:51.000Z,153983209869,False,,,,,1784349.0,1784349.0,617442574,EM-1785432,31,,,,,,,True,0,,True,,
1784349,1785425,Margarita,Márquez,Margarita Márquez,,,female,79719304Q,dni,margarita.marquez@demo520f36d5.com,margarita.marquez@demo520f36d5.com,1991-11-22,es,"Plaça de Catalunya, 1",,8002,Barcelona,Barcelona,es,,,iban,55229,122547,184472,2023-05-03T00:00:00.000Z,2026-01-23T14:30:59.000Z,256947746034,False,,,,,1784344.0,1784344.0,612731393,EM-1785425,34,,,,,,,True,0,,True,,
1784344,1785421,Taye ,Abebe,Taye  Abebe,,,male,40710054P,dni,carlos.carter@demo520f36d5.com,carlos.carter@demo520f36d5.com,1990-05-17,et,"Carrer de la Marina, 19",,8005,Barcelona,Barcelona,es,,,iban,55229,122547,184472,2023-05-18T00:00:00.000Z,2026-02-02T13:32:27.000Z,117898145600,False,,,,,,,615896678,EM-1785421,35,,,,,,,True,0,,True,,
1784336,1785413,Ayo ,Okafor,Ayo  Okafor,,,female,22800258J,dni,hellen@demo520f36d5.com,hellen@demo520f36d5.com,1996-01-23,za,,,,,,,,,,55229,122547,184472,2023-12-15T00:00:00.000Z,2026-02-02T13:09:07.000Z,,False,,,,,,,617417349,,30,,,,,,,True,0,,True,,
